"EnsemblGene","gene","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","femHealthy_mean","maleHealthy_mean","femICU_mean","maleICU_mean","femSevere_mean","maleSevere_mean","femSevereHealthy_FoldChange","maleSevereHealthy_FoldChange","femICUhealthy_FoldChange","maleICUhealthy_FoldChange"
"ENSG00000253816","LOC112267940","                                            LOC112267940 (Uncharacterized LOC112267940) is a Protein Coding gene.                                                                                                                                                                                ","                                            LOC112267940 (Uncharacterized LOC112267940) is a Protein Coding gene.                                                                                                                                                                                ","no summary",3.33333333333333,2.75,0,2,4.66666666666667,2.8,1.4,1.01818181818182,-2.33333333333333,0.727272727272727
"ENSG00000253816","RF00017-4677","                                            RF00017-4677  is an RNA Gene, and is affiliated with the SRP_RNA class.                                                                                                                                                                                ","                                            RF00017-4677  is an RNA Gene, and is affiliated with the SRP_RNA class.                                                                                                                                                                                ","no summary",3.33333333333333,2.75,0,2,4.66666666666667,2.8,1.4,1.01818181818182,-2.33333333333333,0.727272727272727
"ENSG00000253816","RAD17","The protein encoded by this gene is highly similar to the gene product of Schizosaccharomyces pombe rad17, a cell cycle checkpoint gene required for cell cycle arrest and DNA damage repair in response to DNA damage. This protein shares strong similarity with DNA replication factor C (RFC), and can form a complex with RFCs. This protein binds to chromatin prior to DNA damage and is phosphorylated by the checkpoint kinase ATR following damage. This protein recruits the RAD1-RAD9-HUS1 checkpoint protein complex onto chromatin after DNA damage, which may be required for its phosphorylation. The phosphorylation of this protein is required for the DNA-damage-induced cell cycle G2 arrest, and is thought to be a critical early event during checkpoint signaling in DNA-damaged cells. Multiple alternatively spliced transcript variants of this gene, which encode four distinct protein isoforms, have been reported. Two pseudogenes, located on chromosomes 7 and 13, have been identified. [provided by RefSeq, Jul 2013]","                                            RAD17 (RAD17 Checkpoint Clamp Loader Component) is a Protein Coding gene.                                            Diseases associated with RAD17 include Seminoma and Warsaw Breakage Syndrome.                                            Among its related pathways are Homologous DNA Pairing and Strand Exchange and Gastric Cancer Network 2.                                            Gene Ontology (GO) annotations related to this gene include four-way junction helicase activity and DNA clamp loader activity.                                            ","Essential for sustained cell growth, maintenance of chromosomal stability, and ATR-dependent checkpoint activation upon DNA damage. Has a weak ATPase activity required for binding to chromatin. Participates in the recruitment of the RAD1-RAD9-HUS1 complex and RHNO1 onto chromatin, and in CHEK1 activation. May also serve as a sensor of DNA replication progression, and may be involved in homologous recombination.
                         RAD17_HUMAN,O75943
                         ",3.33333333333333,2.75,0,2,4.66666666666667,2.8,1.4,1.01818181818182,-2.33333333333333,0.727272727272727
"ENSG00000253816","GUSBP3","                                            GUSBP3 (GUSB Pseudogene 3) is a Pseudogene.                                                                                                                                                                                ","                                            GUSBP3 (GUSB Pseudogene 3) is a Pseudogene.                                                                                                                                                                                ","no summary",3.33333333333333,2.75,0,2,4.66666666666667,2.8,1.4,1.01818181818182,-2.33333333333333,0.727272727272727
"ENSG00000254610","UNC93B1","This gene encodes a protein that is involved in innate and adaptive immune response by regulating toll-like receptor signaling. The encoded protein traffics nucleotide sensing toll-like receptors to the endolysosome from the endoplasmic reticulum. Deficiency of the encoded protein has been associated with herpes simplex encephalitis. [provided by RefSeq, Feb 2014]","                                            UNC93B1 (Unc-93 Homolog B1, TLR Signaling Regulator) is a Protein Coding gene.                                            Diseases associated with UNC93B1 include Encephalopathy, Acute, Infection-Induced   1 and Herpes Simplex Encephalitis.                                            Among its related pathways are Activated TLR4 signalling and Innate Immune System.                                            Gene Ontology (GO) annotations related to this gene include Toll-like receptor binding.                                            An important paralog of this gene is UNC93A.","Plays an important role in innate and adaptive immunity by regulating nucleotide-sensing Toll-like receptor (TLR) signaling. Required for the transport of a subset of TLRs (including TLR3, TLR7 and TLR9) from the endoplasmic reticulum to endolysosomes where they can engage pathogen nucleotides and activate signaling cascades. May play a role in autoreactive B-cells removal.
                         UN93B_HUMAN,Q9H1C4
                         ",3.22222222222222,2.875,0,1.5,0.666666666666667,2.6,0.206896551724138,0.904347826086957,-2.22222222222222,0.521739130434783
"ENSG00000254610","RF00017-959","                                            RF00017-959  is an RNA Gene, and is affiliated with the SRP_RNA class.                                                                                                                                                                                ","                                            RF00017-959  is an RNA Gene, and is affiliated with the SRP_RNA class.                                                                                                                                                                                ","no summary",3.22222222222222,2.875,0,1.5,0.666666666666667,2.6,0.206896551724138,0.904347826086957,-2.22222222222222,0.521739130434783
"ENSG00000254610","TCIRG1","This gene encodes a subunit of a large protein complex known as a vacuolar H+-ATPase (V-ATPase). The protein complex acts as a pump to move protons across the membrane. This movement of protons helps regulate the pH of cells and their surrounding environment. V-ATPase dependent organelle acidification is necessary for such intracellular processes as protein sorting, zymogen activation, and receptor-mediated endocytosis. V-ATPase is comprised of a cytosolic V1 domain and a transmembrane V0 domain. Alternative splicing results in multiple transcript variants. Mutations in this gene are associated with infantile malignant osteopetrosis. [provided by RefSeq, May 2017]","                                            TCIRG1 (T Cell Immune Regulator 1, ATPase H+ Transporting V0 Subunit A3) is a Protein Coding gene.                                            Diseases associated with TCIRG1 include Osteopetrosis, Autosomal Recessive 1 and Autosomal Recessive Malignant Osteopetrosis.                                            Among its related pathways are Lysosome and Synaptic vesicle cycle.                                            Gene Ontology (GO) annotations related to this gene include transporter activity and proton transmembrane transporter activity.                                            An important paralog of this gene is ATP6V0A2.","Part of the proton channel of V-ATPases (By similarity). Seems to be directly involved in T-cell activation.
                         VPP3_HUMAN,Q13488
                         ",3.22222222222222,2.875,0,1.5,0.666666666666667,2.6,0.206896551724138,0.904347826086957,-2.22222222222222,0.521739130434783
"ENSG00000254610","LOC112268076","                                            LOC112268076 (Uncharacterized LOC112268076) is a Protein Coding gene.                                                                                                                                                                                ","                                            LOC112268076 (Uncharacterized LOC112268076) is a Protein Coding gene.                                                                                                                                                                                ","no summary",3.22222222222222,2.875,0,1.5,0.666666666666667,2.6,0.206896551724138,0.904347826086957,-2.22222222222222,0.521739130434783
"ENSG00000254610","ALDH3B2","This gene encodes a member of the aldehyde dehydrogenase family, a group of isozymes that may play a major role in the detoxification of aldehydes generated by alcohol metabolism and lipid peroxidation. The gene of this particular family member is over 10 kb in length. Altered methylation patterns at this locus have been observed in spermatozoa derived from patients exhibiting reduced fecundity. [provided by RefSeq, Aug 2017]","                                            ALDH3B2 (Aldehyde Dehydrogenase 3 Family Member B2) is a Protein Coding gene.                                            Diseases associated with ALDH3B2 include Ras-Associated Autoimmune Leukoproliferative Disorder.                                            Among its related pathways are Glucose metabolism and Tyrosine metabolism.                                            Gene Ontology (GO) annotations related to this gene include oxidoreductase activity and 3-chloroallyl aldehyde dehydrogenase activity.                                            An important paralog of this gene is ALDH3B1.","Oxidizes medium and long chain aldehydes into non-toxic fatty acids.
                         AL3B2_HUMAN,P48448
                         ",3.22222222222222,2.875,0,1.5,0.666666666666667,2.6,0.206896551724138,0.904347826086957,-2.22222222222222,0.521739130434783
"ENSG00000254610","ENSG00000254850","                                            ENSG00000254850  is a Pseudogene.                                                                                                                                                                                ","                                            ENSG00000254850  is a Pseudogene.                                                                                                                                                                                ","no summary",3.22222222222222,2.875,0,1.5,0.666666666666667,2.6,0.206896551724138,0.904347826086957,-2.22222222222222,0.521739130434783
"ENSG00000254610","ENSG00000255031","                                            ENSG00000255031  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000255031  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary",3.22222222222222,2.875,0,1.5,0.666666666666667,2.6,0.206896551724138,0.904347826086957,-2.22222222222222,0.521739130434783
"ENSG00000254610","RPS3AP40","                                            RPS3AP40 (RPS3A Pseudogene 40) is a Pseudogene.                                                                                                                                                                                ","                                            RPS3AP40 (RPS3A Pseudogene 40) is a Pseudogene.                                                                                                                                                                                ","no summary",3.22222222222222,2.875,0,1.5,0.666666666666667,2.6,0.206896551724138,0.904347826086957,-2.22222222222222,0.521739130434783
"ENSG00000254610","ENSG00000254610","                                            ENSG00000254610  is a Pseudogene.                                                                                                                                                                                ","                                            ENSG00000254610  is a Pseudogene.                                                                                                                                                                                ","no summary",3.22222222222222,2.875,0,1.5,0.666666666666667,2.6,0.206896551724138,0.904347826086957,-2.22222222222222,0.521739130434783
"ENSG00000256377","ARNTL2-AS1","                                            ARNTL2-AS1 (ARNTL2 Antisense RNA 1) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ARNTL2-AS1 (ARNTL2 Antisense RNA 1) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","CCDC91","                                            CCDC91 (Coiled-Coil Domain Containing 91) is a Protein Coding gene.                                            Diseases associated with CCDC91 include Ossification Of The Posterior Longitudinal Ligament Of Spine and Diffuse Idiopathic Skeletal Hyperostosis.                                                                                        Gene Ontology (GO) annotations related to this gene include identical protein binding.                                            ","                                            CCDC91 (Coiled-Coil Domain Containing 91) is a Protein Coding gene.                                            Diseases associated with CCDC91 include Ossification Of The Posterior Longitudinal Ligament Of Spine and Diffuse Idiopathic Skeletal Hyperostosis.                                                                                        Gene Ontology (GO) annotations related to this gene include identical protein binding.                                            ","Involved in the regulation of membrane traffic through the trans-Golgi network (TGN). Functions in close cooperation with the GGAs in the sorting of hydrolases to lysosomes.
                         CCD91_HUMAN,Q7Z6B0
                         ",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","ENSG00000247903","                                            ENSG00000247903  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000247903  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","HMGB1P49","                                            HMGB1P49 (High Mobility Group Box 1 Pseudogene 49) is a Pseudogene.                                                                                                                                                                                ","                                            HMGB1P49 (High Mobility Group Box 1 Pseudogene 49) is a Pseudogene.                                                                                                                                                                                ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","ENSG00000256557","                                            ENSG00000256557  is a Pseudogene.                                                                                                                                                                                ","                                            ENSG00000256557  is a Pseudogene.                                                                                                                                                                                ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","RN7SKP15","                                            RN7SKP15 (RN7SK Pseudogene 15) is a Pseudogene.                                                                                                                                                                                ","                                            RN7SKP15 (RN7SK Pseudogene 15) is a Pseudogene.                                                                                                                                                                                ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","KLHL42","                                            KLHL42 (Kelch Like Family Member 42) is a Protein Coding gene.                                            Diseases associated with KLHL42 include Bardet-Biedl Syndrome 10.                                            Among its related pathways are Innate Immune System and Class I MHC mediated antigen processing and presentation.                                            Gene Ontology (GO) annotations related to this gene include ubiquitin-protein transferase activity.                                            An important paralog of this gene is KLHL32.","                                            KLHL42 (Kelch Like Family Member 42) is a Protein Coding gene.                                            Diseases associated with KLHL42 include Bardet-Biedl Syndrome 10.                                            Among its related pathways are Innate Immune System and Class I MHC mediated antigen processing and presentation.                                            Gene Ontology (GO) annotations related to this gene include ubiquitin-protein transferase activity.                                            An important paralog of this gene is KLHL32.","Substrate-specific adapter of a BCR (BTB-CUL3-RBX1) E3 ubiquitin-protein ligase complex required for mitotic progression and cytokinesis. The BCR(KLHL42) E3 ubiquitin ligase complex mediates the ubiquitination and subsequent degradation of KATNA1. Involved in microtubule dynamics throughout mitosis.
                         KLH42_HUMAN,Q9P2K6
                         ",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","MRPS35","Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that has had confusing nomenclature in the literature. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. Pseudogenes corresponding to this gene are found on chromosomes 3p, 5q, and 10q. [provided by RefSeq, Jul 2010]","                                            MRPS35 (Mitochondrial Ribosomal Protein S35) is a Protein Coding gene.                                            Diseases associated with MRPS35 include Alcoholic Cardiomyopathy.                                            Among its related pathways are Organelle biogenesis and maintenance and Mitochondrial translation.                                            Gene Ontology (GO) annotations related to this gene include structural constituent of ribosome.                                            ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","PPFIBP1","The protein encoded by this gene is a member of the LAR protein-tyrosine phosphatase-interacting protein (liprin) family. Liprins interact with members of LAR family of transmembrane protein tyrosine phosphatases, which are known to be important for axon guidance and mammary gland development. It has been proposed that liprins are multivalent proteins that form complex structures and act as scaffolds for the recruitment and anchoring of LAR family of tyrosine phosphatases. This protein was found to interact with S100A4, a calcium-binding protein related to tumor invasiveness and metastasis. In vitro experiment demonstrated that the interaction inhibited the phosphorylation of this protein by protein kinase C and protein kinase CK2. Alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008]","                                            PPFIBP1 (PPFIA Binding Protein 1) is a Protein Coding gene.                                            Diseases associated with PPFIBP1 include Inflammatory Myofibroblastic Tumor and Fuchs' Endothelial Dystrophy.                                            Among its related pathways are Neuroscience and Glucose / Energy Metabolism.                                            Gene Ontology (GO) annotations related to this gene include integrase activity.                                            An important paralog of this gene is PPFIBP2.","May regulate the disassembly of focal adhesions. Did not bind receptor-like tyrosine phosphatases type 2A.
                         LIPB1_HUMAN,Q86W92
                         ",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","ENSG00000252585","                                            ENSG00000252585  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ","                                            ENSG00000252585  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ","Y RNA
                        RF00019
                        ",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","SMCO2","                                            SMCO2 (Single-Pass Membrane Protein With Coiled-Coil Domains 2) is a Protein Coding gene.                                            Diseases associated with SMCO2 include Gender Identity Disorder.                                                                                                                                    An important paralog of this gene is TMCO5A.","                                            SMCO2 (Single-Pass Membrane Protein With Coiled-Coil Domains 2) is a Protein Coding gene.                                            Diseases associated with SMCO2 include Gender Identity Disorder.                                                                                                                                    An important paralog of this gene is TMCO5A.","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","REP15","The protein encoded by this intronless gene interacts with GTP-bound Rab15 and is involved in recycling of transferrin receptor from the endocytic recycling compartment to the cell surface. [provided by RefSeq, Sep 2016]","                                            REP15 (RAB15 Effector Protein) is a Protein Coding gene.                                            Diseases associated with REP15 include Pancreatic Acinar Cell Adenocarcinoma.                                                                                                                                    ","Regulates transferrin receptor recycling from the endocytic recycling compartment.
                         REP15_HUMAN,Q6BDI9
                         ",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","MANSC4","                                            MANSC4 (MANSC Domain Containing 4) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is MANSC1.","                                            MANSC4 (MANSC Domain Containing 4) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is MANSC1.","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","ENSG00000257042","                                            ENSG00000257042  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000257042  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","ENSG00000256512","                                            ENSG00000256512  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000256512  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","ENSG00000256377","                                            ENSG00000256377  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000256377  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","PTHLH","The protein encoded by this gene is a member of the parathyroid hormone family. This hormone, via its receptor, PTHR1, regulates endochondral bone development and epithelial-mesenchymal interactions during the formation of the mammary glands and teeth. It is responsible for most cases of humoral hypercalcemia of malignancy, and mutations in this gene are associated with brachydactyly type E2 (BDE2). Alternatively spliced transcript variants have been found for this gene. There is also evidence for alternative translation initiation from non-AUG (CUG and GUG) start sites, downstream of the initiator AUG codon, resulting in nuclear forms of this hormone. [provided by RefSeq, Nov 2013]","                                            PTHLH (Parathyroid Hormone Like Hormone) is a Protein Coding gene.                                            Diseases associated with PTHLH include Brachydactyly, Type E2 and Brachydactyly, Type E1.                                            Among its related pathways are Development_Hedgehog and PTH signaling pathways in bone and cartilage development and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include hormone activity and peptide hormone receptor binding.                                            ","Neuroendocrine peptide which is a critical regulator of cellular and organ growth, development, migration, differentiation and survival and of epithelial calcium ion transport. Regulates endochondral bone development and epithelial-mesenchymal interactions during the formation of the mammary glands and teeth. Required for skeletal homeostasis. Promotes mammary mesenchyme differentiation and bud outgrowth by modulating mesenchymal cell responsiveness to BMPs. Upregulates BMPR1A expression in the mammary mesenchyme and this increases the sensitivity of these cells to BMPs and allows them to respond to BMP4 in a paracrine and/or autocrine fashion. BMP4 signaling in the mesenchyme, in turn, triggers epithelial outgrowth and augments MSX2 expression, which causes the mammary mesenchyme to inhibit hair follicle formation within the nipple sheath (By similarity). Promotes colon cancer cell migration and invasion in an integrin alpha-6/beta-1-dependent manner through activation of Rac1.
                         PTHR_HUMAN,P12272
                         ",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","LOC107984461","                                            LOC107984461 (Uncharacterized LOC107984461) is an RNA Gene, and is affiliated with the ncRNA class.                                                                                                                                                                                ","                                            LOC107984461 (Uncharacterized LOC107984461) is an RNA Gene, and is affiliated with the ncRNA class.                                                                                                                                                                                ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","MN309546","                                            MN309546  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            MN309546  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000256377","ENSG00000256504","                                            ENSG00000256504  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000256504  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary",4,2.75,0,0,0,0.4,-3,0.145454545454545,-3,-1.75
"ENSG00000257771","LINC02395","                                            LINC02395 (Long Intergenic Non-Protein Coding RNA 2395) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            LINC02395 (Long Intergenic Non-Protein Coding RNA 2395) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary",0.111111111111111,0.375,7.5,7.5,1.66666666666667,2.4,15,6.4,67.5,20
"ENSG00000258525","LOC100506071","                                            LOC100506071 (Uncharacterized LOC100506071) is an RNA Gene, and is affiliated with the lncRNA class.                                            Diseases associated with LOC100506071 include Deafness, Autosomal Dominant 9 and Deafness, Autosomal Recessive 110.                                                                                                                                    ","                                            LOC100506071 (Uncharacterized LOC100506071) is an RNA Gene, and is affiliated with the lncRNA class.                                            Diseases associated with LOC100506071 include Deafness, Autosomal Dominant 9 and Deafness, Autosomal Recessive 110.                                                                                                                                    ","no summary",3.11111111111111,1.5,0,2.5,2,3,0.642857142857143,2,-2.11111111111111,1.66666666666667
"ENSG00000258763","ENSG00000258763","                                            ENSG00000258763  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000258763  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary",1,0.25,55,2,0.333333333333333,1.4,0.333333333333333,5.6,55,8
"ENSG00000258763","APOF","The product of this gene is one of the minor apolipoproteins found in plasma. This protein forms complexes with lipoproteins and may be involved in transport and/or esterification of cholesterol. [provided by RefSeq, Jul 2008]","                                            APOF (Apolipoprotein F) is a Protein Coding gene.                                                                                        Among its related pathways are Lipoprotein metabolism and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include signaling receptor binding and lipid transporter activity.                                            ","Minor apolipoprotein that associates with LDL. Inhibits cholesteryl ester transfer protein (CETP) activity and appears to be an important regulator of cholesterol transport. Also associates to a lesser degree with VLDL, Apo-AI and Apo-AII.
                         APOF_HUMAN,Q13790
                         ",1,0.25,55,2,0.333333333333333,1.4,0.333333333333333,5.6,55,8
"ENSG00000258763","ENSG00000257303","                                            ENSG00000257303  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000257303  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary",1,0.25,55,2,0.333333333333333,1.4,0.333333333333333,5.6,55,8
"ENSG00000258763","OR10A7","Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. [provided by RefSeq, Jul 2008]","                                            OR10A7 (Olfactory Receptor Family 10 Subfamily A Member 7) is a Protein Coding gene.                                            Diseases associated with OR10A7 include Tick Infestation.                                            Among its related pathways are Signaling by GPCR and Olfactory transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and olfactory receptor activity.                                            An important paralog of this gene is OR10A4.","Odorant receptor.
                         O10A7_HUMAN,Q8NGE5
                         ",1,0.25,55,2,0.333333333333333,1.4,0.333333333333333,5.6,55,8
"ENSG00000258763","MMP19","This gene encodes a member of a family of proteins that are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. The encoded protein is secreted as an inactive proprotein, which is activated upon cleavage by extracellular proteases. Alternative splicing results in multiple transcript variants for this gene. [provided by RefSeq, Jan 2013]","                                            MMP19 (Matrix Metallopeptidase 19) is a Protein Coding gene.                                            Diseases associated with MMP19 include Cavitary Optic Disc Anomalies and Multiple Sclerosis.                                            Among its related pathways are Degradation of the extracellular matrix and Integrin Pathway.                                            Gene Ontology (GO) annotations related to this gene include calcium ion binding and metallopeptidase activity.                                            An important paralog of this gene is MMP15.","Endopeptidase that degrades various components of the extracellular matrix, such as aggrecan and cartilage oligomeric matrix protein (comp), during development, haemostasis and pathological conditions (arthritic disease). May also play a role in neovascularization or angiogenesis. Hydrolyzes collagen type IV, laminin, nidogen, nascin-C isoform, fibronectin, and type I gelatin.
                         MMP19_HUMAN,Q99542
                         ",1,0.25,55,2,0.333333333333333,1.4,0.333333333333333,5.6,55,8
"ENSG00000258763","OR6C2","Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. [provided by RefSeq, Jul 2008]","                                            OR6C2 (Olfactory Receptor Family 6 Subfamily C Member 2) is a Protein Coding gene.                                            Diseases associated with OR6C2 include Cataract 37 and Cataract 21, Multiple Types.                                            Among its related pathways are Signaling by GPCR and GPCRs, Other.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and olfactory receptor activity.                                            An important paralog of this gene is OR6C68.","Odorant receptor.
                         OR6C2_HUMAN,Q9NZP2
                         ",1,0.25,55,2,0.333333333333333,1.4,0.333333333333333,5.6,55,8
"ENSG00000258763","OR6C70","Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. [provided by RefSeq, Jul 2008]","                                            OR6C70 (Olfactory Receptor Family 6 Subfamily C Member 70) is a Protein Coding gene.                                                                                        Among its related pathways are Signaling by GPCR and Olfactory transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and olfactory receptor activity.                                            An important paralog of this gene is OR6C6.","Odorant receptor.
                         O6C70_HUMAN,A6NIJ9
                         ",1,0.25,55,2,0.333333333333333,1.4,0.333333333333333,5.6,55,8
"ENSG00000258763","OR6C4","Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. [provided by RefSeq, Jul 2008]","                                            OR6C4 (Olfactory Receptor Family 6 Subfamily C Member 4) is a Protein Coding gene.                                            Diseases associated with OR6C4 include Chronic Wasting Disease.                                            Among its related pathways are Signaling by GPCR and Olfactory transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and olfactory receptor activity.                                            An important paralog of this gene is OR2AP1.","Odorant receptor.
                         OR6C4_HUMAN,Q8NGE1
                         ",1,0.25,55,2,0.333333333333333,1.4,0.333333333333333,5.6,55,8
"ENSG00000258763","MIP","Major intrinsic protein is a member of the water-transporting aquaporins as well as the original member of the MIP family of channel proteins. The function of the fiber cell membrane protein encoded by this gene is undetermined, yet this protein is speculated to play a role in intracellular communication. The MIP protein is expressed in the ocular lens and is required for correct lens function. This gene has been mapped among aquaporins AQP2, AQP5, and AQP6, in a potential gene cluster at 12q13. [provided by RefSeq, Jul 2008]","                                            MIP (Major Intrinsic Protein Of Lens Fiber) is a Protein Coding gene.                                            Diseases associated with MIP include Cataract 15, Multiple Types and Cerulean Cataract.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Aquaporin-mediated transport.                                            Gene Ontology (GO) annotations related to this gene include transporter activity and structural constituent of eye lens.                                            An important paralog of this gene is AQP2.","Water channel (PubMed:24120416). Channel activity is down-regulated by CALM when cytoplasmic Ca(2+) levels are increased. May be responsible for regulating the osmolarity of the lens. Interactions between homotetramers from adjoining membranes may stabilize cell junctions in the eye lens core (By similarity). Plays a role in cell-to-cell adhesion and facilitates gap junction coupling (PubMed:24120416).
                         MIP_HUMAN,P30301
                         ",1,0.25,55,2,0.333333333333333,1.4,0.333333333333333,5.6,55,8
